,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coef,ticker
57,2021-04-12,173.1,174.34,173.05,173.58,173.58,327143.0,0.0,1.0,DEO
58,2021-04-09,175.3,175.5787,174.04,175.53,175.53,646223.0,0.0,1.0,DEO
59,2021-04-08,174.69,175.4,173.91,174.98,174.98,636495.0,0.0,1.0,DEO
60,2021-04-07,171.47,171.49,169.15,169.66,169.66,318811.0,0.0,1.0,DEO
61,2021-04-06,168.98,170.74,168.9,170.08,170.08,311613.0,0.0,1.0,DEO
62,2021-04-05,167.63,169.86,167.53,169.22,169.22,197345.0,0.0,1.0,DEO
63,2021-04-01,166.94,167.88,165.78,167.44,167.44,411208.0,0.0,1.0,DEO
64,2021-03-31,165.74,166.01,164.13,164.21,164.21,337172.0,0.0,1.0,DEO
65,2021-03-30,166.3,167.04,165.81,166.05,166.05,343703.0,0.0,1.0,DEO
66,2021-03-29,165.39,167.78,165.31,167.48,167.48,301710.0,0.0,1.0,DEO
67,2021-03-26,164.64,165.9,163.94,165.71,165.71,284695.0,0.0,1.0,DEO
68,2021-03-25,166.15,166.16,163.41,164.76,164.76,307021.0,0.0,1.0,DEO
69,2021-03-24,165.11,165.63,164.42,164.76,164.76,303525.0,0.0,1.0,DEO
70,2021-03-23,165.76,166.67,165.34,165.66,165.66,409081.0,0.0,1.0,DEO
71,2021-03-22,165.58,167.159,165.34,166.62,166.62,514927.0,0.0,1.0,DEO
72,2021-03-19,167.21,167.73,166.29,167.19,167.19,418112.0,0.0,1.0,DEO
73,2021-03-18,167.73,169.89,167.73,168.48,168.48,370180.0,0.0,1.0,DEO
74,2021-03-17,169.73,170.39,168.95,169.42,169.42,311374.0,0.0,1.0,DEO
75,2021-03-16,168.54,170.09,168.176,169.37,169.37,458080.0,0.0,1.0,DEO
76,2021-03-15,168.84,168.84,166.9,167.65,167.65,272055.0,0.0,1.0,DEO
77,2021-03-12,165.98,167.7892,165.81,167.73,167.73,265423.0,0.0,1.0,DEO
78,2021-03-11,167.38,167.8075,166.41,167.04,167.04,351967.0,0.0,1.0,DEO
79,2021-03-10,166.51,168.035,165.35,167.36,167.36,435245.0,0.0,1.0,DEO
80,2021-03-09,165.47,165.69,164.48,164.74,164.74,368284.0,0.0,1.0,DEO
81,2021-03-08,161.44,163.7019,161.2,162.07,162.07,341897.0,0.0,1.0,DEO
82,2021-03-05,162.44,164.38,161.5,164.22,164.22,722738.0,0.0,1.0,DEO
83,2021-03-04,162.08,164.43,159.91,161.14,161.14,639587.0,0.0,1.0,DEO
84,2021-03-03,159.87,161.49,159.74,160.08,160.08,304722.0,0.0,1.0,DEO
85,2021-03-02,160.62,161.5,160.13,160.74,160.74,384428.0,0.0,1.0,DEO
86,2021-03-01,159.08,161.14,158.77,159.36,159.36,513797.0,0.0,1.0,DEO
87,2021-02-26,159.79,159.84,156.66,157.74,157.74,956615.0,0.0,1.0,DEO
88,2021-02-25,165.63,166.085,161.03,161.53,161.53,371064.0,1.535,1.0,DEO
89,2021-02-24,164.93,167.61,164.84,167.25,165.67560482,418188.0,0.0,1.0,DEO
90,2021-02-23,165.48,166.78,165.0,166.38,164.813794499,365159.0,0.0,1.0,DEO
91,2021-02-22,164.8,166.21,164.17,165.51,163.951984178,531967.0,0.0,1.0,DEO
92,2021-02-19,168.99,168.99,167.15,167.41,165.834098672,1031392.0,0.0,1.0,DEO
93,2021-02-18,167.17,169.99,167.07,169.48,167.884612884,387026.0,0.0,1.0,DEO
94,2021-02-17,168.72,169.5,167.96,169.25,167.656777972,246880.0,0.0,1.0,DEO
95,2021-02-16,170.35,170.37,168.4809,169.51,167.914330482,402515.0,0.0,1.0,DEO
96,2021-02-12,166.66,167.5,166.3484,167.08,165.507205102,225594.0,0.0,1.0,DEO
97,2021-02-11,167.87,168.26,166.66,167.12,165.546828565,779503.0,0.0,1.0,DEO
98,2021-02-10,165.33,166.28,164.24,164.88,163.327914635,323072.0,0.0,1.0,DEO
99,2021-02-09,165.71,166.525,165.54,166.21,164.645394781,359007.0,0.0,1.0,DEO
